date|data_collection_time|direction|means_of_transport|elapsed_time (mins)
27/09/2022|8:08|Home - Boadilla|Metro - Bus|65
28/09/2022|18:41|Boadilla - Home|Metro - Bus|70
29/09/2022|08:17|Home - Boadilla|Metro - Bus|63
29/09/2022|18:43|Boadilla - Home|Metro - Bus|65
05/10/2022|18:45|Boadilla - Home|Metro - Bus|73
06/10/2022|08:46|Home - Boadilla|Metro - Bus|59
11/10/2022|08:27|Home - Boadilla|Metro - Metro_Ligero|67
11/10/2022|13:09|Boadilla - Home|Moncloa Way  Bus - Bus|90
18/10/2022|08:55|Home - Boadilla|Principe - Pio ML|69
19/10/2022|18:35|Boadilla - Home|Principe - Pio Bus|59
25/10/2022|08:29|Home - Boadilla|Principe - Pio ML|69
25/10/2022|16:36|Boadilla - Home|Principe - Pio ML|69
26/10/2022|16:39|Boadilla - Home|Principe - Pio ML|75
02/11/2022|16:37|Boadilla - Home|Moncloa Way Bus - Bus|80
03/11/2022|14:46|Boadilla - Home|Metro - Bus|65
08/11/2022|09:27|Home - Boadilla|Principe - Pio ML|60
15/11/2022|08:45|Home - Boadilla|Principe - Pio ML|70
15/11/2022|19:00|Home - Boadilla|Principe - Pio Bus|80
15/11/2022|19:00|Home - Boadilla|Principe - Pio ML|71
16/11/2022|08:58|Home - Boadilla|Principe - Pio ML|71
