|date|data_collection_time|direction|means_of_transport|elapsed_time (mins)|observation|week_day
0|27/09/2022|07:08|Home - Boadilla|Metro - Bus|65||Tuesday
1|28/09/2022|18:41|Boadilla - Home|Metro - Bus|70||Wednesday
2|29/09/2022|07:17|Home - Boadilla|Metro - Bus|63||Thursday
3|29/09/2022|18:43|Boadilla - Home|Metro - Bus|65||Thursday
4|05/10/2022|18:45|Boadilla - Home|Metro - Bus|73||Wednesday
5|06/10/2022|08:46|Home - Boadilla|Metro - Bus|59||Thursday
6|11/10/2022|08:27|Home - Boadilla|Metro - Metro_Ligero|67||Tuesday
7|11/10/2022|13:09|Boadilla - Home|Moncloa Way  Bus - Bus|90||Tuesday
8|18/10/2022|08:55|Home - Boadilla|Principe - Pio ML|69||Tuesday
9|19/10/2022|18:35|Boadilla - Home|Principe - Pio Bus|59||Wednesday
10|25/10/2022|08:29|Home - Boadilla|Principe - Pio ML|69||Tuesday
11|25/10/2022|16:36|Boadilla - Home|Principe - Pio ML|69||Tuesday
12|26/10/2022|16:39|Boadilla - Home|Principe - Pio ML|75||Wednesday
13|02/11/2022|16:37|Boadilla - Home|Moncloa Way Bus - Bus|80||Wednesday
14|03/11/2022|14:46|Boadilla - Home|Metro - Bus|65||Thursday
15|08/11/2022|09:27|Home - Boadilla|Principe - Pio ML|60||Tuesday
16|15/11/2022|08:45|Home - Boadilla|Principe - Pio ML|70||Tuesday
17|15/11/2022|19:00|Home - Boadilla|Principe - Pio Bus|80||Tuesday
18|16/11/2022|13:46|Boadilla - Home|Principe - Pio ML|71||Wednesday
19|16/11/2022|19:00|Home - Boadilla|Principe - Pio ML|65||Wednesday
20|22/11/2022|09:02|Home - Boadilla|Principe - Pio ML|69||Tuesday
21|22/11/2022|19:00|Home - Boadilla|Principe - Pio ML|75||Tuesday
22|23/11/2022|08:36|Home - Boadilla|Principe - Pio ML|70||Wednesday
23|23/11/2022|19:00|Boadilla - Home|Principe - Pio Bus|52||Wednesday
24|29/11/2022|08:59|Home - Boadilla|Principe - Pio ML|72||Tuesday
25|29/11/2022|19:00|Boadilla - Home|Principe - Pio ML|75||Tuesday
26|30/11/2022|08:37|Home - Boadilla|Principe - Pio ML|69||Wednesday
27|16/01/2023|08:42|Home - Boadilla|Tribunal ML|65||Monday
28|18/01/2023|08:37|Home - Boadilla|Tribunal ML|58||Wednesday
29|23/01/2023|08:30|Home - Boadilla|Tribunal ML|68||Monday
